Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Linnéa,Andersson,Bäckvägen 82,Skövde,13723,Sverige,SE,19710114-0468,+46,+46 (0)848 046 26,1971-01-14,True
Henry,Olsson,Stationsvägen 2,Lund,78540,Sverige,SE,19981003-2847,+46,0648-497 17,1998-10-03,True
Marianne,Eliasson,Björkgatan 668,Piteå,27442,Sverige,SE,19440629-6178,+46,08-984 728 01,1944-06-29,True
Inger,Mikkelsen,Berntsenalléen 6,Jensen,6932,Norge,NO,19900703-0789,+47,+47 73 07 17 54,1990-07-03,True
Elizabeth,Cannon,Kelly Expressway 6073,East Jessica,12872,Danmark,DK,19791226-4415,+45,887.940.3835,1979-12-26,True
Juhani,Saarinen,Hannukselantie 63,Pöytyä,21421,Norge,FI,19580726-649T,+358,0318076527,1958-07-26,True
Marie,Solberg,Hansenvollen 4,Thomassen,7292,Norge,NO,20000130-4619,+47,+47 30 71 59 32,2000-01-30,True
Bengt,Håkansson,Granstigen 6,Gävle,12766,Sverige,SE,19990329-0776,+46,08-14 46 49,1999-03-29,True
Brenda,Snyder,Troy Forge 6337,Rickyside,50479,Danmark,DK,19740516-7219,+45,(252)785-4334x694,1974-05-16,True
Brenda,Morales,Black Courts 98981,Ianview,43105,Danmark,DK,19760412-9287,+45,001-226-385-4527x7775,1976-04-12,True
Robert,Welch,Lisa Hollow 4148,Pollardtown,25086,Danmark,DK,19890604-6524,+45,+1-405-977-4339x683,1989-06-04,True
Mary,Blomqvist,Kyrkovägen 949,Lidingö,68765,Sverige,SE,19770721-2545,+46,+46 (0)178 043 84,1977-07-21,True
Margareta,Nilsson,Fabrikstorget 627,Luleå,99165,Sverige,SE,19410119-5471,+46,08-030 195 40,1941-01-19,True
Anita,Mårtensson,Björktorget 04,Sandviken,50516,Sverige,SE,19840318-5196,+46,08-14 08 86,1984-03-18,True
Rolf,Nilsson,Parkgatan 3,Piteå,85382,Sverige,SE,19761106-0482,+46,08-220 491 20,1976-11-06,True
Lisa,Clark,Aaron Glen 465,New Samanthafurt,55625,Danmark,DK,19900605-2999,+45,290.598.3049,1990-06-05,True
Allan,Andersson,Aspgatan 4,Lund,63749,Sverige,SE,19740509-9936,+46,074-815 97 16,1974-05-09,True
Per,Rønning,Sandviklyngen 8,Ellenby,2986,Norge,NO,19791129-1569,+47,69663292,1979-11-29,True
Jakob,Hedman,Grangatan 99,Falun,88629,Sverige,SE,19510618-7571,+46,049-10 69 40,1951-06-18,True
Andrew,Merritt,Michael Divide 6556,North Christopher,51367,Danmark,DK,19440925-9656,+45,001-999-389-7002,1944-09-25,True
Ingeborg,Eriksson,Nystigen 1,Sundsvall,59513,Sverige,SE,19930816-3807,+46,0065-45 97 92,1993-08-16,True
Thomas,Ahmed,Eliassenskogen 1,Vegardvær,4624,Norge,NO,19751013-9659,+47,13028617,1975-10-13,True
Henrik,Mikkelsen,Hanssengropa 9,Joakimstad,9439,Norge,NO,19520105-0358,+47,01471024,1952-01-05,True
Maria,Nilsson,Ringgatan 267,Trollhättan,21877,Sverige,SE,19790402-4435,+46,+46 (0)913 755 71,1979-04-02,True
Jonathan,Evans,Madison Springs 76104,Garyberg,53720,Danmark,DK,19940626-5301,+45,685.769.2897,1994-06-26,True
Karolina,Berg,Trädgårdsstigen 503,Örebro,72963,Sverige,SE,19610217-7126,+46,070-259 75 29,1961-02-17,True
Karin,Persson,Grangatan 97,Karlskrona,82566,Sverige,SE,19920223-6034,+46,+46 (0)8 109 953 82,1992-02-23,True
Paula,Tate,Brandon Junction 091,East Tammy,30260,Danmark,DK,19571007-1220,+45,(562)351-5318,1957-10-07,True
Roger,Sæther,Dahlkroken 14D,Martinstrand,4678,Norge,NO,19740303-0915,+47,+47 32 65 35 33,1974-03-03,True
Martin,Olsson,Björktorget 0,Ängelholm,43237,Sverige,SE,19751221-9849,+46,059-58 31 20,1975-12-21,True
Anna-Karin,Isaksson,Gentorget 898,Landskrona,67181,Sverige,SE,19520923-7079,+46,+46 (0)8 185 388 89,1952-09-23,True
Jan,Hansson,Parktorget 012,Borås,39149,Sverige,SE,19690927-5973,+46,0874-94 14 25,1969-09-27,True
Ulla,Falk,Furuvägen 88,Varberg,87686,Sverige,SE,19680513-8558,+46,+46 (0)471 602 15,1968-05-13,True
Summer,Richardson,Patricia Pine 4446,West Brendan,81651,Danmark,DK,19660623-0416,+45,830.215.3809x540,1966-06-23,True
Siv,Ottosson,Skolgatan 421,Göteborg,51186,Sverige,SE,19930530-6143,+46,08-419 362 96,1993-05-30,True
Birgitta,Nilsson,Skogstorget 392,Sundsvall,85800,Sverige,SE,19800827-8371,+46,08-55 31 22,1980-08-27,True
Peter,Eriksson,Björkgatan 610,Kristianstad,38975,Sverige,SE,19940322-9543,+46,08-91 65 48,1994-03-22,True
Birgitta,Eriksson,Kyrkgränd 86,Stockholm,78489,Sverige,SE,19701029-7260,+46,08-74 34 13,1970-10-29,True
Brandon,Velasquez,Marcus Viaduct 5766,Port Gabriel,39047,Danmark,DK,19401009-2279,+45,+1-293-740-4087x197,1940-10-09,True
Cathrine,Helland,Tangenlyngen 5,Rasmussen,7903,Norge,NO,19980902-9989,+47,+47 98 48 22 51,1998-09-02,True
Harriet,Månsson,Bäckgatan 82,Karlskoga,52480,Sverige,SE,19431215-5284,+46,022-481 33 82,1943-12-15,True
Julius,Hämäläinen,Yrjö-Koskisen katu 849,Vöyri,05198,Finland,FI,19740712-807A,+358,+358 85 0976773,1974-07-12,True
Lina,Larsson,Skogsgatan 903,Skövde,53588,Sverige,SE,19970824-7353,+46,050-436 66 99,1997-08-24,True
Camilla,Gustavsson,Idrottsgatan 88,Karlskoga,16283,Sverige,SE,19490906-6718,+46,08-929 990 30,1949-09-06,True
Johan,Lunde,Moentoppen 4,Roberthavn,6767,Norge,NO,19580522-4745,+47,84974849,1958-05-22,True
Monica,Strøm,Iversengrenda 16,Vidarstrand,9788,Norge,NO,19970907-0428,+47,94916324,1997-09-07,True
Pernilla,Andersson,Ringtorget 30,Uppsala,28830,Sverige,SE,19771002-8286,+46,0492-407 18,1977-10-02,True
Axel,Pettersson,Industrivägen 1,Lund,87834,Sverige,SE,19711223-0936,+46,+46 (0)501 069 36,1971-12-23,True
Pirjo,Mattsson,Rukoushuoneenkuja 55,Ii,98430,Finland,FI,19930402-350M,+358,(+358) 950429829,1993-04-02,True
Elisabet,Björk,Industrigatan 87,Linköping,56053,Sverige,SE,19701231-9785,+46,024-609 66 68,1970-12-31,True
Sigrid,Moe,Moenskrenten 1,Helgesund,8387,Norge,NO,19481126-8898,+47,+4788006112,1948-11-26,True
Elisabeth,Hedlund,Backgatan 78,Uddevalla,58229,Sverige,SE,19801012-7445,+46,+46 (0)8 105 854 56,1980-10-12,True
Karl,Karlsson,Ängsvägen 37,Halmstad,96883,Sverige,SE,19740508-4854,+46,08-991 713 32,1974-05-08,True
Roar,Haugland,Jakobsenhagen 9C,Antonsen,1896,Norge,NO,19550327-4110,+47,43150117,1955-03-27,True
Ellinor,Nilsson,Björkgatan 42,Sundsvall,12247,Sverige,SE,19520130-6600,+46,+46 (0)8 513 133 70,1952-01-30,True
Karl,Haglund,Stationsgatan 3,Lidingö,68248,Sverige,SE,19400925-6525,46,089-91 76 55,1940-09-25,True
Gunilla,Lundqvist,Bäcktorget 464,Södertälje,79076,Sverige,SE,19581026-6603,+46,08-603 970 08,1958-10-26,True
Erik,Eliasson,Skogstorget 4,Lund,18213,Sverige,SE,19401022-7071,+46,+46 (0)493 740 22,1940-10-22,True
Siv,Gustafsson,Bäckgatan 812,Uddevalla,98684,Sverige,SE,19740126-8547,+46,031-811 40 17,1974-01-26,True
Jorunn,Solheim,Lienberget 3,Johanneshamn,3000,Norge,NO,19961029-1537,+47,59 71 39 62,1996-10-29,True
Michelle,Clayton,Rodriguez Trafficway 928,Matthewberg,96479,Danmark,DK,19990309-8626,+45,764.885.6643x183,1999-03-09,False
Vilde,Jakobsen,Kristensenvollen 9,Turidfjord,2615,Norge,NO,19921001-7397,+47,96909809,1992-10-01,True
Kristin,Svendsen,Solbergmoen 1E,Aas,9160,Norge,NO,19650126-8870,+47,+47 89 39 67 89,1965-01-26,True
Linnéa,Roos,Grantorget 70,Sundsvall,37043,Sverige,SE,19431019-7730,+46,08-66 28 72,1943-10-19,True
Markus,Nordin,Åkergatan 1,Sandviken,94812,Sverige,SE,19610810-4163,+46,08-640 47 33,1961-08-10,True
Elisabeth,Johansson,Björkvägen 8,Malmö,24186,Sverige,SE,19980612-6995,+46,08-773 61 54,1998-06-12,True
Joakim,Berg,Antonsenskrenten 532,Knutvær,6333,Norge,NO,19870123-8589,+47,954 84 940,1987-01-23,True
Cecilia,Eriksson,Nytorget 05,Kalmar,72489,Sverige,SE,19900616-9755,+46,0932-17 58 27,1990-06-16,True
Tuula,Pitkänen,Ilkanpolku 792,Liminka,33310,Finland,FI,19840824-538L,+358,068 966 6478,1984-08-24,True
Mary,Bailey,Marie Fork 29642,Claytonview,51526,Danmark,DK,19880215-1585,+45,339.621.5823x7110,1988-02-15,True
Michelle,Harding,Martin Fields 1692,Lewischester,53704,Danmark,DK,19850718-9591,+45,517.767.3485,1985-07-18,True
Axel,Lindahl,Stationsstigen 90,Karlstad,81848,Sverige,SE,19931211-3957,+46,+46 (0)563 617 87,1993-12-11,True
Petter,Ström,Ängstorget 03,Kristianstad,18680,Sverige,SE,19681102-9008,+46,+46 (0)52 82 51 56,1968-11-02,True
Irja,Eloranta,Ylänkökuja 9,Kemi,71389,Finland,FI,19840402-5508,+358,+358 92 3482642,1984-04-02,True
Carl,Karlsson,Skolstigen 48,Karlstad,91399,Sverige,SE,19980123-8387,+46,+46 (0)71 84 03 24,1998-01-23,True
Unni,Nilsen,Birkelandberget 1,Kjerstiborg,7079,Norge,NO,19700204-3527,+47,93313716,1970-02-04,True
Justin,Fisher,Greene Throughway 9343,Moyerton,36033,Danmark,DK,19421206-8107,+45,001-571-579-4248x34535,1942-12-06,True
Ingvar,Fredriksson,Parkvägen 061,Varberg,53807,Sverige,SE,19520702-4140,+46,08-511 746 45,1952-07-02,True
Ove,Andersson,Trädgårdsgränd 6,Malmö,99208,Sverige,SE,19990711-0258,+46,0108-246 43,1999-07-11,True
Christer,Karlsson,Idrottsvägen 89,Sundsvall,26459,Sverige,SE,19650213-2393,+46,+46 (0)11 27 19 37,1965-02-13,True
Karl,Fransson,Bäckgränd 7,Jönköping,68090,Sverige,SE,19710110-8621,+46,0862-685 52,1971-01-10,True
Sindre,Kristoffersen,Gundersenstranda 15,Tommyhavn,4933,Norge,NO,19981008-1705,+47,+47 27 27 53 59,1998-10-08,True
Nathan,Duke,Nelson Prairie 63607,Debraborough,60327,Danmark,DK,19990422-4814,+45,+1-753-442-6193,1999-04-22,True
